code,pdc,mdc,echo_pdx,drg,drgname,status
A33,,15,A33,26509,Ungroupable,ok
P523,,15,P523,26509,Ungroupable,ok
Z388,,15,Z388,26509,Ungroupable,ok
A187,10A,10,A187,10500,Endocrine disorders except diabetes wo complicated PDx wo sig CCC,ok
E209,10A,10,E209,10500,Endocrine disorders except diabetes wo complicated PDx wo sig CCC,ok
R948,10A,10,R948,10500,Endocrine disorders except diabetes wo complicated PDx wo sig CCC,ok
E40,10B,10,E40,10519,Severe metabolic disorder in adult,ok
E441,10B,10,E441,10519,Severe metabolic disorder in adult,ok
E640,10B,10,E640,10519,Severe metabolic disorder in adult,ok
E15,10C,10,E15,10530,Nutrition and miscelaneous metabolic disorders wo sig CCC,ok
E648,10C,10,E648,10530,Nutrition and miscelaneous metabolic disorders wo sig CCC,ok
R824,10C,10,R824,10530,Nutrition and miscelaneous metabolic disorders wo sig CCC,ok
D813,10D,10,D813,10540,Inborn errors of metabolism wo sig CCC,ok
E769,10D,10,E769,10540,Inborn errors of metabolism wo sig CCC,ok
E889,10D,10,E889,10540,Inborn errors of metabolism wo sig CCC,ok
E109,10F,10,E109,10560,Diabetes without complicated PDx wo sig CCC,ok
E129,10F,10,E129,10560,Diabetes without complicated PDx wo sig CCC,ok
E149,10F,10,E149,10560,Diabetes without complicated PDx wo sig CCC,ok
C73,10G,10,C73,10610,Endocrine malignancy wo sig CCC,ok
C750,10G,10,C750,10610,Endocrine malignancy wo sig CCC,ok
C797,10G,10,C797,10610,Endocrine malignancy wo sig CCC,ok
I120,11A,11,I120,11500,"Chronic renal failure, age > 17 wo sig CCC",ok
N183,11A,11,N183,11500,"Chronic renal failure, age > 17 wo sig CCC",ok
N19,11A,11,N19,11500,"Chronic renal failure, age > 17 wo sig CCC",ok
Z490,11B,11,Z490,11520,Admit for renal dialysis wo sig CCC,ok
Z491,11B,11,Z491,11520,Admit for renal dialysis wo sig CCC,ok
Z492,11B,11,Z492,11520,Admit for renal dialysis wo sig CCC,ok
C64,11C,11,C64,11530,Kidney and urinary tract neoplasm wo sig CCC,ok
C790,11C,11,C790,11530,Kidney and urinary tract neoplasm wo sig CCC,ok
D419,11C,11,D419,11530,Kidney and urinary tract neoplasm wo sig CCC,ok
A181,11D,11,A181,11540,Kidney and urinary tract infection wo sig CCC,ok
N151,11D,11,N151,11541,Kidney and urinary tract infection w min CCC,ok
T835,11D,11,T835,11540,Kidney and urinary tract infection wo sig CCC,ok
N130,11E,11,N130,11550,Urinary stone wo sig CCC,ok
N202,11E,11,N202,11550,Urinary stone wo sig CCC,ok
N23,11E,11,N23,11550,Urinary stone wo sig CCC,ok
E877,11F,11,E877,11560,Kidney and urinary tract signs & symptoms wo sig CCC,ok
R36,11F,11,R36,11560,Kidney and urinary tract signs & symptoms wo sig CCC,ok
R944,11F,11,R944,11560,Kidney and urinary tract signs & symptoms wo sig CCC,ok
N350,11G,11,N350,11570,Urethral stricture wo sig CCC,ok
N358,11G,11,N358,11570,Urethral stricture wo sig CCC,ok
N991,11G,11,N991,11570,Urethral stricture wo sig CCC,ok
E102,11H,11,E102,11580,Other kidney and urinary tract diagnoses wo sig CCC,ok
N0591,11H,11,N0591,11580,Other kidney and urinary tract diagnoses wo sig CCC,ok
Z960,11H,11,Z960,11580,Other kidney and urinary tract diagnoses wo sig CCC,ok
N170,11J,11,N170,11590,"Acute renal failure age > 17, not transferred wo sig CCC",ok
N172,11J,11,N172,11590,"Acute renal failure age > 17, not transferred wo sig CCC",ok
N179,11J,11,N179,11590,"Acute renal failure age > 17, not transferred wo sig CCC",ok
I701,11K,11,I701,11660,Major kidney diagnoses wo sig CCC,ok
N0342,11K,11,N0342,11660,Major kidney diagnoses wo sig CCC,ok
T861,11K,11,T861,11660,Major kidney diagnoses wo sig CCC,ok
C600,12A,12,C600,12500,"Malignancy, male reproductive system wo sig CCC",ok
C632,12A,12,C632,12500,"Malignancy, male reproductive system wo sig CCC",ok
D409,12A,12,D409,12500,"Malignancy, male reproductive system wo sig CCC",ok
N40,12B,12,N40,12510,Benign prostatic hypertrophy wo sig CCC,ok
A510,12C,12,A510,12520,Inflammation of the male reproductive system wo sig CCC,ok
B374,12C,12,B374,12520,Inflammation of the male reproductive system wo sig CCC,ok
N499,12C,12,N499,12520,Inflammation of the male reproductive system wo sig CCC,ok
D176,12E,12,D176,12540,Other male reproductive system diagnoses wo sig CCC,ok
Q550,12E,12,Q550,12540,Other male reproductive system diagnoses wo sig CCC,ok
Z310,12E,12,Z310,12540,Other male reproductive system diagnoses wo sig CCC,ok
C510,13A,13,C510,26509,Ungroupable,ok
C543,13A,13,C543,26509,Ungroupable,ok
D399,13A,13,D399,26509,Ungroupable,ok
D060,13B,13,D060,26509,Ungroupable,ok
D070,13B,13,D070,26509,Ungroupable,ok
D073,13B,13,D073,13510,Non-ovarian/adnexal ca in situ wo sig CCC,ok
C56,13C,13,C56,13520,Ovarian/adnexal malignancy wo sig CCC,ok
C573,13C,13,C573,26509,Ungroupable,ok
D391,13C,13,D391,13520,Ovarian/adnexal malignancy wo sig CCC,ok
A510,13D,13,A510,12520,Inflammation of the male reproductive system wo sig CCC,ok
B373,13D,13,B373,26509,Ungroupable,ok
N898,13D,13,N898,26509,Ungroupable,ok
A542,13E,13,A542,12520,Inflammation of the male reproductive system wo sig CCC,ok
N719,13E,13,N719,26509,Ungroupable,ok
N980,13E,13,N980,26509,Ungroupable,ok
D250,13F,13,D250,26509,Ungroupable,ok
N921,13F,13,N921,26509,Ungroupable,ok
Z437,13F,13,Z437,26509,Ungroupable,ok
O151,14A,14,O151,26509,Ungroupable,ok
O702,14A,14,O702,26509,Ungroupable,ok
O849,14A,14,O849,26509,Ungroupable,ok
O100,14B,14,O100,26509,Ungroupable,ok
O330,14B,14,O330,26509,Ungroupable,ok
O998,14B,14,O998,26509,Ungroupable,ok
A34,14C,14,A34,26509,Ungroupable,ok
O892,14C,14,O892,26509,Ungroupable,ok
O927,14C,14,O927,26509,Ungroupable,ok
O080,14D,14,O080,26509,Ungroupable,ok
O086,14D,14,O086,26509,Ungroupable,ok
Z391,14D,14,Z391,26509,Ungroupable,ok
O280,14E,14,O280,26509,Ungroupable,ok
O600,14E,14,O600,26509,Ungroupable,ok
Z369,14E,14,Z369,26509,Ungroupable,ok
O000,14F,14,O000,26509,Ungroupable,ok
O002,14F,14,O002,26509,Ungroupable,ok
O009,14F,14,O009,26509,Ungroupable,ok
O200,14G,14,O200,26509,Ungroupable,ok
O208,14G,14,O208,26509,Ungroupable,ok
O209,14G,14,O209,26509,Ungroupable,ok
O020,14H,14,O020,26509,Ungroupable,ok
O053,14H,14,O053,26509,Ungroupable,ok
O079,14H,14,O079,26509,Ungroupable,ok
O470,14J,14,O470,26509,Ungroupable,ok
O471,14J,14,O471,26509,Ungroupable,ok
O479,14J,14,O479,26509,Ungroupable,ok
O021,14K,14,O021,26509,Ungroupable,ok
O052,14K,14,O052,26509,Ungroupable,ok
O077,14K,14,O077,26509,Ungroupable,ok
O010,14L,14,O010,26509,Ungroupable,ok
O011,14L,14,O011,26509,Ungroupable,ok
O019,14L,14,O019,26509,Ungroupable,ok
D460,16A,16,D460,16501,Red blood cell disorders w min CCC,ok
D578,16A,16,D578,16500,Red blood cell disorders wo sig CCC,ok
T809,16A,16,T809,16500,Red blood cell disorders wo sig CCC,ok
D65,16B,16,D65,16510,Coagulation disorders wo sig CCC,ok
D689,16B,16,D689,16510,Coagulation disorders wo sig CCC,ok
R233,16B,16,R233,16510,Coagulation disorders wo sig CCC,ok
D472,16C,16,D472,16520,Reticuloendothelial and immuno disorders wo sig CCC,ok
D818,16C,16,D818,16520,Reticuloendothelial and immuno disorders wo sig CCC,ok
T860,16C,16,T860,16521,Reticuloendothelial and immuno disorders w min CCC,ok
C910,17A,17,C910,17500,Acute leukemia wo sig CCC,ok
C925,17A,17,C925,17500,Acute leukemia wo sig CCC,ok
C950,17A,17,C950,17500,Acute leukemia wo sig CCC,ok
C261,17B,17,C261,17510,Lymphoma & non-acute leukemia wo sig CCC,ok
C883,17B,17,C883,17510,Lymphoma & non-acute leukemia wo sig CCC,ok
D891,17B,17,D891,17510,Lymphoma & non-acute leukemia wo sig CCC,ok
C480,17C,17,C480,17521,Other Neoplastic disorders w min CCC,ok
D1807,17C,17,D1807,17520,Other Neoplastic disorders wo sig CCC,ok
Z031,17C,17,Z031,17520,Other Neoplastic disorders wo sig CCC,ok
A021,18A,18,A021,18500,"Septicemia, adult, not transferred wo sig CCC",ok
A410,18A,18,A410,18500,"Septicemia, adult, not transferred wo sig CCC",ok
R578,18A,18,R578,18500,"Septicemia, adult, not transferred wo sig CCC",ok
T793,18B,18,T793,18520,"Postop and post-traumatic infections, elderly wo sig CCC",ok
T814,18B,18,T814,18520,"Postop and post-traumatic infections, elderly wo sig CCC",ok
B500,18C,18,B500,18540,"Malaria, adult wo sig CCC",ok
B520,18C,18,B520,18540,"Malaria, adult wo sig CCC",ok
B54,18C,18,B54,18540,"Malaria, adult wo sig CCC",ok
A90,18D,18,A90,18560,"Dengue, adult wo sig CCC",ok
A919,18D,18,A919,18560,"Dengue, adult wo sig CCC",ok
A979,18D,18,A979,18560,"Dengue, adult wo sig CCC",ok
R508,18E,18,R508,18580,"Fever of unknow origin, adult wo sig CCC",ok
R509,18E,18,R509,18580,"Fever of unknow origin, adult wo sig CCC",ok
A804,18F,18,A804,18600,"Viral illness except dengue, adult wo sig CCC",ok
B03,18F,18,B03,18600,"Viral illness except dengue, adult wo sig CCC",ok
Z21,18F,18,Z21,18600,"Viral illness except dengue, adult wo sig CCC",ok
B377,18G,18,B377,18620,"Fungal diseases, adult wo sig CCC",ok
B442,18G,18,B442,18620,"Fungal diseases, adult wo sig CCC",ok
B49,18G,18,B49,18620,"Fungal diseases, adult wo sig CCC",ok
A010,18H,18,A010,18640,"Other infectious and parasitic diseases, adult wo sig CCC",ok
A530,18H,18,A530,18640,"Other infectious and parasitic diseases, adult wo sig CCC",ok
T880,18H,18,T880,18640,"Other infectious and parasitic diseases, adult wo sig CCC",ok
A241,18J,18,A241,18660,"Melioidosis, adult wo sig CCC",ok
A243,18J,18,A243,18660,"Melioidosis, adult wo sig CCC",ok
A244,18J,18,A244,18660,"Melioidosis, adult wo sig CCC",ok
A270,18K,18,A270,18680,"Leptospirosis, adult wo sig CCC",ok
A278,18K,18,A278,18680,"Leptospirosis, adult wo sig CCC",ok
A279,18K,18,A279,18680,"Leptospirosis, adult wo sig CCC",ok
F230,19A,19,F230,19502,Acute psychotic disorders w mod CCC,ok
F315,19A,19,F315,19502,Acute psychotic disorders w mod CCC,ok
F538,19A,19,F538,26509,Ungroupable,ok
F200,19B,19,F200,19512,Chronic psychotic disorders w mod CCC,ok
F2050,19B,19,F2050,19511,Chronic psychotic disorders w min CCC,ok
F29,19B,19,F29,19510,Chronic psychotic disorders wo sig CCC,ok
F300,19C,19,F300,19520,Major affective disorders wo sig CCC,ok
F328,19C,19,F328,19520,Major affective disorders wo sig CCC,ok
F539,19C,19,F539,26509,Ungroupable,ok
F340,19D,19,F340,19530,Other affect and somatoform disorders wo sig CCC,ok
F4539,19D,19,F4539,19530,Other affect and somatoform disorders wo sig CCC,ok
F59,19D,19,F59,19530,Other affect and somatoform disorders wo sig CCC,ok
F430,19E,19,F430,19549,Acute reaction and psychosocial dysfunction,ok
F4323,19E,19,F4323,19549,Acute reaction and psychosocial dysfunction,ok
F439,19E,19,F439,19549,Acute reaction and psychosocial dysfunction,ok
F400,19F,19,F400,19550,Anxiety disorders wo sig CCC,ok
F447,19F,19,F447,19551,Anxiety disorders w min CCC,ok
G479,19F,19,G479,19550,Anxiety disorders wo sig CCC,ok
F420,19G,19,F420,19569,Eating and obscessive compulsive disorders,ok
F501,19G,19,F501,19569,Eating and obscessive compulsive disorders,ok
F509,19G,19,F509,19569,Eating and obscessive compulsive disorders,ok
F520,19H,19,F520,19579,Person & impulse control disorders and sexual dysfunt,ok
F629,19H,19,F629,19579,Person & impulse control disorders and sexual dysfunt,ok
F69,19H,19,F69,19579,Person & impulse control disorders and sexual dysfunt,ok
F4482,19J,19,F4482,19581,Childhood mental disorders w min CCC,ok
F908,19J,19,F908,19580,Childhood mental disorders wo sig CCC,ok
F989,19J,19,F989,19580,Childhood mental disorders wo sig CCC,ok
F010,19K,19,F010,19590,Organic disturbance wo sig CCC,ok
F0193,19K,19,F0193,19590,Organic disturbance wo sig CCC,ok
R418,19K,19,R418,19590,Organic disturbance wo sig CCC,ok
F54,19L,19,F54,19600,Other mental disorders wo sig CCC,ok
R457,19L,19,R457,19600,Other mental disorders wo sig CCC,ok
Z728,19L,19,Z728,19600,Other mental disorders wo sig CCC,ok
F700,19N,19,F700,19620,Mental retardation wo sig CCC,ok
F798,19N,19,F798,19620,Mental retardation wo sig CCC,ok
Q939,19N,19,Q939,19620,Mental retardation wo sig CCC,ok
G041,1A,01,G041,01500,Spinal disorders (non-traumatic,ok
G823,1A,01,G823,01500,Spinal disorders (non-traumatic,ok
G835,1A,01,G835,01500,Spinal disorders (non-traumatic,ok
G800,1B,01,G800,01510,Cerebral palsy wo sig CCC,ok
G803,1B,01,G803,01510,Cerebral palsy wo sig CCC,ok
G809,1B,01,G809,01510,Cerebral palsy wo sig CCC,ok
B431,1C,01,B431,01520,Nervous system neoplasms wo sig CCC,ok
D320,1C,01,D320,01520,Nervous system neoplasms wo sig CCC,ok
D447,1C,01,D447,01520,Nervous system neoplasms wo sig CCC,ok
A521,1D,01,A521,01530,Degenerative  nervous system disorders wo sig CCC,ok
G248,1D,01,G248,01530,Degenerative  nervous system disorders wo sig CCC,ok
I698,1D,01,I698,01530,Degenerative  nervous system disorders wo sig CCC,ok
G110,1E,01,G110,01540,Multiple sclerosis and cerebellar ataxia wo sig CCC,ok
G368,1E,01,G368,01540,Multiple sclerosis and cerebellar ataxia wo sig CCC,ok
G379,1E,01,G379,01540,Multiple sclerosis and cerebellar ataxia wo sig CCC,ok
I600,1F,01,I600,01551,Specific cerebrovascular disorders exc TIA w min CCC,ok
I619,1F,01,I619,01550,Specific cerebrovascular disorders exc TIA wo sig CCC,ok
I677,1F,01,I677,01551,Specific cerebrovascular disorders exc TIA w min CCC,ok
G450,1G,01,G450,01560,TIA and precerebral occlusions wo sig CCC,ok
I653,1G,01,I653,01560,TIA and precerebral occlusions wo sig CCC,ok
I669,1G,01,I669,01560,TIA and precerebral occlusions wo sig CCC,ok
G934,1H,01,G934,01570,Nonspecific cerebrovascular disorders wo sig CCC,ok
G98,1H,01,G98,01570,Nonspecific cerebrovascular disorders wo sig CCC,ok
I679,1H,01,I679,01570,Nonspecific cerebrovascular disorders wo sig CCC,ok
E104,1J,01,E104,01580,Cranial and peripheral nerve disorders wo sig CCC,ok
M5413,1J,01,M5413,01580,Cranial and peripheral nerve disorders wo sig CCC,ok
T144,1J,01,T144,01580,Cranial and peripheral nerve disorders wo sig CCC,ok
A066,1K,01,A066,01590,"Nerv syst infection exc viral meningitis, not transfer wo sig CCC",ok
A89,1K,01,A89,01590,"Nerv syst infection exc viral meningitis, not transfer wo sig CCC",ok
G062,1K,01,G062,01590,"Nerv syst infection exc viral meningitis, not transfer wo sig CCC",ok
A870,1L,01,A870,01600,Viral meningitis wo sig CCC,ok
B003,1L,01,B003,01600,Viral meningitis wo sig CCC,ok
G032,1L,01,G032,01600,Viral meningitis wo sig CCC,ok
G935,1M,01,G935,01611,Nontraumatic stupor and coma w min CCC,ok
R401,1M,01,R401,01610,Nontraumatic stupor and coma wo sig CCC,ok
R409,1M,01,R409,01610,Nontraumatic stupor and coma wo sig CCC,ok
R560,1N,01,R560,01620,Febrile convulsions wo sig CCC,ok
G253,1P,01,G253,01630,Seizure disorders wo sig CCC,ok
G407,1P,01,G407,01630,Seizure disorders wo sig CCC,ok
R568,1P,01,R568,01630,Seizure disorders wo sig CCC,ok
F072,1Q,01,F072,01641,Headache w min CCC,ok
G442,1Q,01,G442,01640,Headache wo sig CCC,ok
R511,1Q,01,R511,01640,Headache wo sig CCC,ok
S061,1R,01,S061,01650,Intracranial injury wo sig CCC,ok
S0651,1R,01,S0651,01650,Intracranial injury wo sig CCC,ok
T060,1R,01,T060,01650,Intracranial injury wo sig CCC,ok
S020,1S,01,S020,01660,Skull fractures wo sig CCC,ok
S028,1S,01,S028,01660,Skull fractures wo sig CCC,ok
T0201,1S,01,T0201,01660,Skull fractures wo sig CCC,ok
S060,1T,01,S060,01670,Other head injury wo sig CCC,ok
S0601,1T,01,S0601,01670,Other head injury wo sig CCC,ok
S099,1T,01,S099,01670,Other head injury wo sig CCC,ok
A881,1U,01,A881,01680,Other disorders of nervous system wo sig CCC,ok
Q019,1U,01,Q019,01680,Other disorders of nervous system wo sig CCC,ok
Z900,1U,01,Z900,01680,Other disorders of nervous system wo sig CCC,ok
G610,1V,01,G610,01690,Guillain-Barre syndrome wo sig CCC,ok
S140,1W,01,S140,01770,Spinal injuries wo sig CCC,ok
S340,1W,01,S340,01770,Spinal injuries wo sig CCC,ok
T093,1W,01,T093,01770,Spinal injuries wo sig CCC,ok
